repo,number,title,body,labels,state,created_at,closed_at,predicted_label,actual_labels,is_mismatched,resolution_days,url
marmelab/react-admin,10667,Currency mismatch in dashboard revenue chart,"On the dashboard, the ""30 Day Revenue History"" chart displays the Y-axis in euros (€), but the tooltip and data values are shown in US dollars ($). This inconsistency can confuse users about which currency is being reported.
Expected:
The chart should use the same currency symbol throughout.



![Image](https://github.com/user-attachments/assets/12f0525c-bb62-4f61-baa5-8182874b5976)",['bug'],closed,2025-04-15T22:18:27Z,2025-04-16T09:59:03Z,bug,['bug'],False,0.0,
marmelab/react-admin,10651,a typo in the codebase! In packages/ra-ui-materialui/src/layout/Error.tsx,"**What you were expecting:**
The Error component's class names should be consistently spelled, with ""panelSummary"" being the correct spelling.

**What happened instead:**
The Error component in `packages/ra-ui-materialui/src/layout/Error.tsx` has a typo in the class name `panelSumary` (missing 'm'). This inconsistency appears in multiple places:
- Line 64: `className={ErrorClasses.panelSumary}`
- Line 148: `panelSumary: ${PREFIX}-panelSumary`
- Line 184: ``[`& .${ErrorClasses.panelSumary}`]``

**Steps to reproduce:**
1. Open `packages/ra-ui-materialui/src/layout/Error.tsx`
2. Look for the class name `panelSumary`
3. Notice the misspelling (missing 'm')

**Related code:**
```typescript
// Current incorrect spelling
className={ErrorClasses.panelSumary}
panelSumary: `${PREFIX}-panelSumary`
[`& .${ErrorClasses.panelSumary}`]

// Should be
className={ErrorClasses.panelSummary}
panelSummary: `${PREFIX}-panelSummary`
[`& .${ErrorClasses.panelSummary}`]
```

**Other information:**
- This is a simple typo fix that doesn't affect functionality
- The correct spelling ""panelSummary"" is more consistent with Material-UI's naming conventions
- This fix will improve code consistency and maintainability

**Environment**
* React-admin version: [current version]
* React version: [current version]
* Browser: Any",['bug'],closed,2025-04-09T11:39:23Z,2025-04-16T08:00:12Z,bug,['bug'],False,6.0,
marmelab/react-admin,10613,"When Inputs have prop disabled={false}, SaveButton is disabled and dirtyFields is not working as expected.","When Input have prop as disabled={false} , it renders component again , reset defaultValues . It is causing a bug , dirtyFields are not working as expected.

**What you were expecting:**
SaveButton should work as expected.When form input is touched , savebutton should be enabled.

**What happened instead:**
SaveButton is disabled when there is touched input.

**Steps to reproduce:**
Add disabled={false} to Inputs in Create page .Then write to this input , you will see that SaveButton is disabled in Create page. You can see it in image that i added. It is also causing a bug in Edit page too.

![Image](https://github.com/user-attachments/assets/8f691a6a-f703-4753-a240-dc408045304c)

* Preferably, a sandbox forked from 
https://stackblitz.com/github/marmelab/react-admin/tree/master/examples/simple v5


**Other information:**
<!-- List any other information that is relevant to your issue. Stack traces, related issues, suggestions on how to fix, Stack Overflow links, forum links, etc. For visual or layout problems, please include images or animated gifs.-->

**Environment**

* React-admin version:5.6.4
* Last version that did not exhibit the issue (if applicable):
* React version:18
* Browser:Chrome
* Stack trace (in case of a JS error):
",['bug'],open,2025-03-24T10:36:52Z,,bug,['bug'],False,,
marmelab/react-admin,10602,Enterprise Search component has no placeholder,"<!-- Please do not submit support requests or ""How to"" questions here. For that, 
- go to Stack Overflow: https://stackoverflow.com/questions/tagged/react-admin),  or
  go to the react-admin discord server https://discord.gg/GeZF9sqh3N for community support or
- use the Professional Support (https://react-admin-ee.marmelab.com/#support) if you're an Enterprise Edition subscriber. -->

When using enterprise version of Search component it is impossible to change placeholder.

**What you were expecting:**
Possibility to change placeholder especially keeping in mind the fact that Enterprise Search is a wrapper around SearchInput that does have placeholder. And even Enterprise Search has placeholder prop, it just does not work.

**What happened instead:**
The default placeholder is shown

**Steps to reproduce:**
Create a search component using enterprise search and pass placeholder there like that:
```
export const GlobalSearch: FC<SearchProps> = (props) => {
  return (
    <Search
      {...props}
      placeholder={'Type anything'}
    >
      <CustomSearchResultsPanel />
    </Search>
  );
};
```

**Environment**

* React-admin version: 5.1.5
* React version: 18.3.1
* Browser: Chrome

",['bug'],closed,2025-03-20T13:02:00Z,2025-03-24T13:04:44Z,bug,['bug'],False,4.0,
marmelab/react-admin,10512,Issue with parse prop in filters after update (5.3.4 → 5.4.2),"
**What you were expecting:**
When clicking the clear button, the input value should reset.
The state should be updated accordingly.
The filter should be removed from both the input and the URL.

**What happened instead:**
Clicking the clear button does not update the input state.
The filter remains in both the input field and the URL.
The list view does not refresh as expected.

**Steps to reproduce:**

1. Use a filter input with the parse prop.
2. Apply a filter.
3. Click the clear button.
4. Observe that the input state is not updated and the filter remains applied.

**Related code:**
https://codesandbox.io/p/github/BrenoWii/react-admin-sandbox/find-unexpected-behavior

**Other information:**

![Image](https://github.com/user-attachments/assets/9b3e5051-fe2d-4a3d-a3f0-4e2357cbe41a)

**Environment**

* React-admin version: 5.4.2
* Last version that did not exhibit the issue (if applicable): 5.3.4
* React version: N/A
* Browser: Chrome 
",['bug'],closed,2025-02-13T14:38:52Z,2025-02-17T14:53:53Z,bug,['bug'],False,4.0,
marmelab/react-admin,10492,Pass the original mouse click event to the Datagrid's onClick function.,"**Is your feature request related to a problem? Please describe.**
When rowClick function is used in the Datagrid, it becomes difficult to copy content from the table. I would like to be able to use `CTRL + mouse click` to select text from the table without triggering redirect.

**Describe the solution you'd like**
Pass the original event to the RowClickFunction. This will allow us to detect when CTRL key was pressed by the user (using `e.ctrlKey` attribute), so we can disable the redirect and users will be able to select text to copy.

```ts
export type RowClickFunction = (
    id: Identifier,
    resource: string,
    record: RaRecord,
    e: React.MouseEvent<HTMLElement>
) => string | false | Promise<string | false>;
```

P.S.
If you could also allow RowClickFunction return an object  `{to: To, options?: NavigateOptions}`, this will allow us to better control navigation triggered row clicks without writing custom rowClick functions",['enhancement'],closed,2025-02-04T19:39:13Z,2025-02-07T13:07:01Z,bug,['enhancement'],True,2.0,
marmelab/react-admin,10489,Invalid redirect with callback to absolute URI,"**What you were expecting:**
Im using custom routes, passing `redirect` property to `Create` component

```tsx
<Create
      redirect={(resource, id, data) => `/resourceA/<raId1>/resourceB/<rbId2>/resourceC/${id}`}
      mutationOptions={{ meta: { ... } }}
      resource=""resourceC""
    >
...
</Create>
```

Expected to redirect to the absolute uri returned from the callback `/resourceA/1/resourceB/2/resourceC/3`

**What happened instead:**
instead I was redirected to `/1/resourceB/2/resourceC/3` , according to the code of `redirect` function from `ra-core`

```js
            } else if (typeof redirectTo === 'function') {
                const target: To = redirectTo(resource, id, data);
                const absoluteTarget =
                    typeof target === 'string'
                        ? `${basename}/${target}`
                        : {
                              pathname: `${basename}/${target.pathname}`,
                              ...target,
                          };
                navigate(absoluteTarget, {
                    state: { _scrollToTop: true, ...state },
                });
                return;
```

the result will be `<basename>//resourceA/1/resourceB/2/resourceC/3` the double slash is causing the issue I belive, I would expect the check for leading slash before concatination

**Environment**

* React-admin version: 5.4.3
* Browser: Edge
",['bug'],closed,2025-02-01T19:25:45Z,2025-03-06T17:13:36Z,bug,['bug'],False,32.0,
marmelab/react-admin,10488,Using Datagrid in dashboard requires resource.,"Hi 

Datagrid seems to be looking for resource which isnt available in this sample code.
Code copied from here: https://marmelab.com/react-admin/useList.html

Please see the project here. 
[https://stackblitz.com/edit/github-8jwzr8vw?file=src%2Findex.tsx,src%2FdashBoard.tsx](url)

I get the following error:
""useCanAccess must be used inside a <Resource> component or provide a resource prop""

Is this expected behavior. Thank you for your time.

```import {
    useList,
    ListContextProvider,
    Datagrid,
    TextField
} from 'react-admin';

const data = [
    { id: 1, name: 'Arnold' },
    { id: 2, name: 'Sylvester' },
    { id: 3, name: 'Jean-Claude' },
];

const MyComponent = () => {
    const listContext = useList({ data });
    return (
        <ListContextProvider value={listContext}>
            <Datagrid>
                <TextField source=""id"" />
                <TextField source=""name"" />
            </Datagrid>
        </ListContextProvider>
    );
};

```


",['documentation'],closed,2025-02-01T14:52:39Z,2025-02-03T08:37:04Z,bug,['documentation'],True,1.0,
TanStack/table,5567,Table doesn’t re-render with new React Compiler + React 19,"### TanStack Table version

v8.17.3

### Framework/Library version

React 19 + React Compiler

### Describe the bug and the steps to reproduce it

In the repo provided, run `bun install` and then `bun dev`. 

Then, add some text to the input and click add. Observe that the table doesn’t re-render when the data passed in has changed (`table.getRowModel().rows` doesn’t seem to be updated). 

### Your Minimal, Reproducible Example - (Sandbox Highly Recommended)

https://github.com/erikshestopal/react-compiler-bug/blob/a92305ca44ee81b6d7ece76c96aacf163fe83970/src/App.tsx#L38

### Screenshots or Videos (Optional)

_No response_

### Do you intend to try to help solve this bug with your own PR?

None

### Terms & Code of Conduct

- [X] I agree to follow this project's Code of Conduct
- [X] I understand that if my bug cannot be reliable reproduced in a debuggable environment, it will probably not be fixed and this issue may even be closed.","['v8', 'react']",open,2024-05-18T22:04:24Z,,bug,"['v8', 'react']",True,,
TanStack/table,5475,"""regeneratorRuntime is not defined"" error in documentation example","### TanStack Table version

as shown in documentation

### Framework/Library version

as shown in documentation

### Describe the bug and the steps to reproduce it

The filtering example provided in the page https://react-table-v7-docs.netlify.app/docs/examples/filtering triggers an error ""regeneratorRuntime is not defined""


### Your Minimal, Reproducible Example - (Sandbox Highly Recommended)

https://react-table-v7-docs.netlify.app/docs/examples/filtering

### Screenshots or Videos (Optional)

![2024-04-09_15-50-05](https://github.com/TanStack/table/assets/104996435/2356d749-ec45-4ce3-baf8-44d525d4992a)


### Do you intend to try to help solve this bug with your own PR?

None

### Terms & Code of Conduct

- [X] I agree to follow this project's Code of Conduct
- [X] I understand that if my bug cannot be reliable reproduced in a debuggable environment, it will probably not be fixed and this issue may even be closed.",['v7'],closed,2024-04-09T13:52:39Z,2024-06-30T17:12:55Z,bug,['v7'],True,82.0,
